Protocolo,Cenário,Tamanho,Bytes úteis,Bytes capturados,Overhead (%),N
RUDP,cenarioA,100KB,102400,108745,6.2,10
RUDP,cenarioA,500KB,512000,536045,4.7,10
RUDP,cenarioA,1MB,1048576,1095807,4.5,10
RUDP,cenarioB,100KB,102400,117061,14.32,10
RUDP,cenarioB,500KB,512000,556863,8.76,10
RUDP,cenarioB,1MB,1048576,1150292,9.7,10
RUDP,cenarioC,100KB,102400,121584,18.73,10
RUDP,cenarioC,500KB,512000,598946,16.98,10
RUDP,cenarioC,1MB,1048576,1216848,16.05,10
TCP,cenarioA,100KB,102400,106120,3.63,10
TCP,cenarioA,500KB,512000,518840,1.34,10
TCP,cenarioA,1MB,1048576,1058306,0.93,10
TCP,cenarioB,100KB,102400,107697,5.17,10
TCP,cenarioB,500KB,512000,527728,3.07,9
TCP,cenarioB,1MB,1048576,1067235,1.78,9
TCP,cenarioC,100KB,102400,107623,5.1,9
TCP,cenarioC,500KB,512000,530941,3.7,9
TCP,cenarioC,1MB,1048576,1076787,2.69,9
